customer_id,first_name,last_name,email,city,region,signup_date
US-CUST-00000,Matthew,Parker,matthew.parker655@example.com,Joannaburgh,US,2023-08-17 00:00:00
US-CUST-00001,Alexandra,Mccall,alexandra.mccall760@example.com,West Joel,US,07/17/2024 00:00
US-CUST-00002,Michelle,Byrd,michelle.byrd229@example.com,Jennifershire,US,2023-10-13 00:00:00
US-CUST-00003,Patrick,Thompson,patrick.thompson693@example.com,Jessefurt,US,28-Jun-2023
US-CUST-00004,Danielle,Long,danielle.long33@example.com,South Michaelland,US,2023-03-03 00:00:00
US-CUST-00005,Thomas,Phillips,thomas.phillips224@example.com,South Shawnaburgh,US,2024-04-21 00:00:00
US-CUST-00006,Zachary,Carter,zachary.carter575@example.com,East Andrew,US,12-Feb-2024
US-CUST-00007,Daniel,Thomas,daniel.thomas226@example.com,Lake David,US,08.07.2025
US-CUST-00008,Amy,Ramirez,amy.ramirez829@example.com,Lake Craigstad,US,01/14/2023 00:00
US-CUST-00009,David,Young,david.young715@example.com,Sethfort,US,15.05.2025
US-CUST-00010,Paul,Higgins,paul.higgins285@example.com,Sarahstad,US,11/15/2023 00:00
US-CUST-00011,Brittany,Flowers,brittany.flowers981@example.com,South Michaelton,US,2024-11-20 00:00:00
US-CUST-00012,Christopher,Smith,christopher.smith95@example.com,Brandonport,US,2025-02-17 00:00:00
US-CUST-00013,Thomas,Martin,thomas.martin368@example.com,Mariobury,US,05.12.2024
US-CUST-00014,Christopher,Hernandez,christopher.hernandez827@example.com,West Jimmy,US,30-Mar-2023
US-CUST-00015,Devin,Rice,devin.rice550@example.com,Carrillofurt,US,13-Sep-2023
US-CUST-00016,William,Zimmerman,william.zimmerman81@example.com,Ryanmouth,US,23.08.2024
US-CUST-00017,Daniel,Bell,daniel.bell592@example.com,Jacksonshire,US,2024-01-29 00:00:00
US-CUST-00018,Amanda,Terry,amanda.terry47@example.com,Lake Jamesborough,US,11.04.2024
US-CUST-00019,Katherine,Williams,katherine.williams82@example.com,Mcdonaldbury,US,2024-04-21 00:00:00
US-CUST-00020,Michael,Lopez,michael.lopez390@example.com,Mooreside,US,23-Jul-2024
US-CUST-00021,Maria,Conway,maria.conway651@example.com,South Jacobtown,US,01/17/2025 00:00
US-CUST-00022,Daniel,Mathews,daniel.mathews380@example.com,North Lisaville,US,12/28/2024 00:00
US-CUST-00023,Heather,Singleton,heather.singleton687@example.com,Port Gabriel,US,2024-06-30 00:00:00
US-CUST-00024,Deborah,Rivera,deborah.rivera624@example.com,East Aprilchester,US,12/17/2023 00:00
US-CUST-00025,Rachel,Sanchez,rachel.sanchez168@example.com,West Daniel,US,04-Aug-2025
US-CUST-00026,Sherry,Rhodes,sherry.rhodes277@example.com,North Charlesshire,US,25.03.2024
US-CUST-00027,Matthew,Harvey,matthew.harvey864@example.com,North Brittany,US,04/25/2023 00:00
US-CUST-00028,Lisa,Mitchell,lisa.mitchell842@example.com,Port Stephanie,US,07.03.2023
US-CUST-00029,Sherry,Dalton,sherry.dalton411@example.com,Lynnmouth,US,2024-07-02 00:00:00
US-CUST-00030,Ryan,Li,ryan.li217@example.com,New Michaelburgh,US,10/06/2024 00:00
US-CUST-00031,Jonathan,Taylor,jonathan.taylor672@example.com,Guzmanchester,US,19-Oct-2025
US-CUST-00032,Dennis,Alvarado,dennis.alvarado906@example.com,South Dawn,US,07/28/2025 00:00
US-CUST-00033,Michael,Martinez,michael.martinez272@example.com,New Grantville,US,10/13/2023 00:00
US-CUST-00034,Jacob,Phillips,jacob.phillips763@example.com,Kimberlyborough,US,22-Jun-2024
US-CUST-00035,Randy,Spencer,randy.spencer920@example.com,Chanville,US,28.03.2025
US-CUST-00036,Caleb,Johnson,caleb.johnson225@example.com,Leemouth,US,11-Oct-2023
US-CUST-00037,Monica,Lynch,monica.lynch94@example.com,Brewerfurt,US,2023-04-07 00:00:00
US-CUST-00038,Kelly,Taylor,kelly.taylor157@example.com,Singhfurt,US,24-Nov-2023
US-CUST-00039,Stephen,Moses,stephen.moses611@example.com,East Sarah,US,11-May-2023
US-CUST-00040,Deborah,Duncan,deborah.duncan391@example.com,Kyleburgh,US,16.08.2025
US-CUST-00041,Mary,Wright,mary.wright995@example.com,Martinezton,US,2023-01-24 00:00:00
US-CUST-00042,William,Lindsey,william.lindsey699@example.com,North Mary,US,30.06.2024
US-CUST-00043,Drew,Martin,drew.martin115@example.com,East Ashleyport,US,24-Aug-2024
